,location,company,job_title,salary,city
13,"Houston, TX",MD Anderson Cancer Center,Institute Research Scientist - Translational Biology,"$95,000 - $142,000 a year",Houston
28,"Houston, TX",MD Anderson Cancer Center,Institute Research Scientist - Translational Biology,"$95,000 - $142,000 a year",Houston
31,"Houston, TX",MD Anderson Cancer Center,Institute Research Scientist - Translational Biology,"$95,000 - $142,000 a year",Houston
57,"Houston, TX",MD Anderson Cancer Center,Institute Research Scientist - Translational Biology,"$95,000 - $142,000 a year",Houston
72,"Houston, TX",MD Anderson Cancer Center,Institute Research Scientist - Translational Biology,"$95,000 - $142,000 a year",Houston
84,"Houston, TX",MD Anderson Cancer Center,Computational Scientist,"$76,400 - $114,600 a year",Houston
87,"Houston, TX",MD Anderson Cancer Center,Institute Research Scientist - Translational Biology,"$95,000 - $142,000 a year",Houston
102,"Houston, TX",MD Anderson Cancer Center,Institute Research Scientist - Translational Biology,"$95,000 - $142,000 a year",Houston
106,"Houston, TX",MD Anderson Cancer Center,Institute Research Scientist - Translational Biology,"$95,000 - $142,000 a year",Houston
123,"Houston, TX",MD Anderson Cancer Center,Research Scientist - Neuro-Oncology - Research,"$51,600 - $77,400 a year",Houston
124,"Houston, TX",MD Anderson Cancer Center,Research Scientist - Thoracic H&N Med Oncology - Research,"$51,600 - $77,400 a year",Houston
130,"Houston, TX","Earl Carl Institute for Legal & Social Policy, Inc...",Part Time Academic Research and Writing Policy Analyst Posit...,"$20,000 - $25,000 a year",Houston
131,"Houston, TX",Rice University,Research Scientist,"$40,800 - $79,100 a year",Houston
132,"Houston, TX",MD Anderson Cancer Center,Institute Research Scientist - Translational Biology,"$95,000 - $142,000 a year",Houston
137,"Houston, TX",Baylor College of Medicine,Quality Assurance Analyst (Research),"$43,794 a year",Houston
147,"Houston, TX",MD Anderson Cancer Center,Institute Research Scientist - Translational Biology,"$95,000 - $142,000 a year",Houston
159,"Houston, TX",MD Anderson Cancer Center,Research Admin Analyst,"$45,500 - $82,000 a year",Houston
162,"Houston, TX",MD Anderson Cancer Center,Institute Research Scientist - Translational Biology,"$95,000 - $142,000 a year",Houston
168,"Houston, TX",MD Anderson Cancer Center,Research Statistical Analyst -Bioinformatics & Computational...,"$66,400 - $99,600 a year",Houston
169,"Houston, TX",MD Anderson Cancer Center,Data Analyst- Immunology,"$42,400 - $63,600 a year",Houston
174,"Houston, TX",MD Anderson Cancer Center,Institute Associate Scientist II - In Vivo Pharmacology,"$46,500 - $83,000 a year",Houston
177,"Houston, TX",MD Anderson Cancer Center,Institute Research Scientist - Translational Biology,"$95,000 - $142,000 a year",Houston
192,"Houston, TX",MD Anderson Cancer Center,Institute Research Scientist - Translational Biology,"$95,000 - $142,000 a year",Houston
207,"Houston, TX",MD Anderson Cancer Center,Institute Research Scientist - Translational Biology,"$95,000 - $142,000 a year",Houston
220,"Houston, TX",MD Anderson Cancer Center,Senior Research Assistant - Neurosurgery Research,"$38,000 - $57,000 a year",Houston
221,"Houston, TX",MD Anderson Cancer Center,Institute Assoc Scientist III - Neurodegeneration Consort,"$62,500 - $94,000 a year",Houston
222,"Houston, TX",MD Anderson Cancer Center,Institute Research Scientist - Translational Biology,"$95,000 - $142,000 a year",Houston
226,"Houston, TX",MD Anderson Cancer Center,Institute Research Scientist - Translational Biology,"$95,000 - $142,000 a year",Houston
234,"League City, TX",The University of Texas Medical Branch,Medical Lab Scientist,"$53,600 - $80,400 a year",Houston
246,"Houston, TX",MD Anderson Cancer Center,"Research Programmer - Genetics, next generation sequencing (...","$66,400 - $99,600 a year",Houston
247,"Houston, TX",MD Anderson Cancer Center,"Principal Institute Research Scientist - Drug Discovery, Bio...","$125,000 - $187,000 a year",Houston
249,"Houston, TX",MD Anderson Cancer Center,"Sr Systems Analyst, Quantitative Research Computing - C #, A...","$76,400 - $114,600 a year",Houston
250,"Houston, TX",Oscar Technology,Head of Engineering - Accounting Platform,"$200,000 - $300,000 a year",Houston
252,"Houston, TX",MD Anderson Cancer Center,Institute Research Scientist - Translational Biology,"$95,000 - $142,000 a year",Houston
261,"Houston, TX",MD Anderson Cancer Center,Institute Research Scientist - Translational Biology,"$95,000 - $142,000 a year",Houston
263,"Houston, TX",MD Anderson Cancer Center,Institute Assoc Scientist III - Neurodegeneration Consort,"$62,500 - $94,000 a year",Houston
265,"Houston, TX 77046",Robert Half Technology,Data Scientist,"$125,000 - $150,000 a year",Houston
269,"Houston, TX",Oscar Technology,Head of Engineering - Accounting Platform,"$200,000 - $300,000 a year",Houston
