,Station,Date,Temp_Max,Temp_Min,Temp_Avg,Temp_Norm_Dev,Temp_Dew_Point,Temp_Wet_Bulb,Heat,Cool,Sunrise,Sunset,CodeSum,Max_Snow_Depth,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed
0,1.0,2007-05-01,83.0,50.0,67.0,14.0,51.0,56.0,0.0,2.0,448.0,1849.0, ,0.0,0.0,0.00,29.10,29.82,1.7,27.0,9.2
1,2.0,2007-05-01,84.0,52.0,68.0,,51.0,57.0,0.0,3.0,,, ,,,0.00,29.18,29.82,2.7,25.0,9.6
2,1.0,2007-05-02,59.0,42.0,51.0,-3,42.0,47.0,14.0,0.0,447.0,1850.0,BR,0.0,0.0,0.00,29.38,30.09,13.0,4.0,13.4
3,2.0,2007-05-02,60.0,43.0,52.0,,42.0,47.0,13.0,0.0,,,BR HZ,,,0.00,29.44,30.08,13.3,2.0,13.4
4,1.0,2007-05-03,66.0,46.0,56.0,2.0,40.0,48.0,9.0,0.0,446.0,1851.0, ,0.0,0.0,0.00,29.39,30.12,11.7,7.0,11.9
5,2.0,2007-05-03,67.0,48.0,58.0,,40.0,50.0,7.0,0.0,,,HZ,,,0.00,29.46,30.12,12.9,6.0,13.2
6,1.0,2007-05-04,66.0,49.0,58.0,4.0,41.0,50.0,7.0,0.0,444.0,1852.0,RA,0.0,0.0,,29.31,30.05,10.4,8.0,10.8
7,2.0,2007-05-04,78.0,51.0,,,42.0,50.0,,,,, ,,,0.00,29.36,30.04,10.1,7.0,10.4
8,1.0,2007-05-05,66.0,53.0,60.0,5.0,38.0,49.0,5.0,0.0,443.0,1853.0, ,0.0,0.0,,29.40,30.10,11.7,7.0,12.0
9,2.0,2007-05-05,66.0,54.0,60.0,,39.0,50.0,5.0,0.0,,, ,,,,29.46,30.09,11.2,7.0,11.5
10,1.0,2007-05-06,68.0,49.0,59.0,4.0,30.0,46.0,6.0,0.0,442.0,1855.0, ,0.0,0.0,0.00,29.57,30.29,14.4,11.0,15.0
11,2.0,2007-05-06,68.0,52.0,60.0,,30.0,46.0,5.0,0.0,,, ,,,0.00,29.62,30.28,13.8,10.0,14.5
12,1.0,2007-05-07,83.0,47.0,65.0,10.0,41.0,54.0,0.0,0.0,441.0,1856.0,RA,0.0,0.0,,29.38,30.12,8.6,18.0,10.5
13,2.0,2007-05-07,84.0,50.0,67.0,,39.0,53.0,0.0,2.0,,, ,,,0.00,29.44,30.12,8.5,17.0,9.9
14,1.0,2007-05-08,82.0,54.0,68.0,12.0,58.0,62.0,0.0,3.0,439.0,1857.0,BR,0.0,0.0,0.00,29.29,30.03,2.7,11.0,5.8
15,2.0,2007-05-08,80.0,60.0,70.0,,57.0,63.0,0.0,5.0,,,HZ,,,,29.36,30.02,2.5,8.0,5.4
16,1.0,2007-05-09,77.0,61.0,69.0,13.0,59.0,63.0,0.0,4.0,438.0,1858.0,BR HZ,0.0,0.0,0.13,29.21,29.94,3.9,9.0,6.2
17,2.0,2007-05-09,76.0,63.0,70.0,,60.0,63.0,0.0,5.0,,,BR HZ,,,0.02,29.28,29.93,3.9,7.0,5.9
18,1.0,2007-05-10,84.0,56.0,70.0,14.0,52.0,60.0,0.0,5.0,437.0,1859.0,BR,0.0,0.0,0.00,29.20,29.92,0.7,17.0,4.1
19,2.0,2007-05-10,83.0,59.0,71.0,,52.0,61.0,0.0,6.0,,,BR HZ,,,0.00,29.26,29.91,2.0,9.0,3.9
20,1.0,2007-05-11,70.0,51.0,61.0,4.0,42.0,51.0,4.0,0.0,436.0,1860.0, ,0.0,0.0,0.00,29.33,30.04,11.3,3.0,12.9
21,2.0,2007-05-11,73.0,49.0,61.0,,44.0,51.0,4.0,0.0,,, ,,,0.00,29.39,30.03,11.7,36.0,12.8
22,1.0,2007-05-12,64.0,46.0,55.0,-2,36.0,46.0,10.0,0.0,435.0,1901.0, ,0.0,0.0,0.00,29.49,30.20,12.4,3.0,12.9
23,2.0,2007-05-12,65.0,47.0,56.0,,37.0,46.0,9.0,0.0,,, ,,,0.00,29.54,30.19,12.7,1.0,13.0
24,1.0,2007-05-13,69.0,43.0,56.0,-2,33.0,46.0,9.0,0.0,434.0,1902.0, ,0.0,0.0,0.00,29.49,30.24,6.6,14.0,8.1
25,2.0,2007-05-13,69.0,44.0,57.0,,32.0,46.0,8.0,0.0,,, ,,,0.00,29.55,30.24,6.4,11.0,7.6
26,1.0,2007-05-14,90.0,56.0,73.0,15.0,47.0,59.0,0.0,8.0,433.0,1903.0, ,0.0,0.0,0.00,29.23,29.97,16.9,21.0,17.3
27,2.0,2007-05-14,90.0,54.0,72.0,,45.0,58.0,0.0,7.0,,, ,,,0.00,29.31,29.98,14.1,21.0,14.6
28,1.0,2007-05-15,80.0,57.0,69.0,11.0,56.0,61.0,0.0,4.0,432.0,1904.0,RA BR,0.0,0.0,0.38,29.13,29.84,8.1,27.0,12.3
