,Date,Temp_Min,Temp_Max,Temp_Avg,Temp_Dew_Point,Temp_Wet_Bulb,StnPressure,Day_Length,Ht_Cool,PrecipTotal
0,2007-05-01,51.0,83.5,67.5,51.0,56.5,29.14,841.0,-2.0,0.0
1,2007-05-02,42.5,59.5,51.5,42.0,47.0,29.41,843.0,14.0,0.0
2,2007-05-03,47.0,66.5,57.0,40.0,49.0,29.425,845.0,9.0,0.0
3,2007-05-04,50.0,72.0,58.0,41.5,50.0,29.335,848.0,7.0,0.0
4,2007-05-05,53.5,66.0,60.0,38.5,49.5,29.43,850.0,5.0,0.0
5,2007-05-06,50.5,68.0,59.5,30.0,46.0,29.595,853.0,6.0,0.0
6,2007-05-07,48.5,83.5,66.0,40.0,53.5,29.41,855.0,0.0,0.0
7,2007-05-08,57.0,81.0,69.0,57.5,62.5,29.325,858.0,-3.0,0.0
8,2007-05-09,62.0,76.5,69.5,59.5,63.0,29.245,860.0,-4.0,0.13
9,2007-05-10,57.5,83.5,70.5,52.0,60.5,29.23,862.0,-5.0,0.0
10,2007-05-11,50.0,71.5,61.0,43.0,51.0,29.36,864.0,4.0,0.0
11,2007-05-12,46.5,64.5,55.5,36.5,46.0,29.515,866.0,10.0,0.0
12,2007-05-13,43.5,69.0,56.5,32.5,46.0,29.52,868.0,9.0,0.0
13,2007-05-14,55.0,90.0,72.5,46.0,58.5,29.27,870.0,-8.0,0.0
14,2007-05-15,56.5,81.0,69.0,56.0,61.0,29.16,872.0,-4.0,0.38
15,2007-05-16,44.5,65.0,55.0,42.5,47.5,29.36,874.0,10.0,0.14
16,2007-05-17,43.5,61.5,53.0,32.0,43.0,29.585,876.0,12.0,0.0
17,2007-05-18,42.5,70.5,57.0,30.5,46.5,29.565,878.0,8.0,0.0
18,2007-05-19,56.0,80.0,68.0,38.0,53.0,29.375,880.0,-3.0,0.0
19,2007-05-20,43.5,69.0,56.5,40.5,44.5,29.41,882.0,9.0,0.07
20,2007-05-21,45.0,79.5,62.5,50.0,56.5,29.36,884.0,3.0,0.0
21,2007-05-22,57.5,87.0,72.5,45.0,58.0,29.375,886.0,-6.0,0.0
22,2007-05-23,63.0,89.0,76.5,48.5,61.0,29.43,887.0,-10.0,0.0
23,2007-05-24,64.5,88.0,76.5,53.5,63.0,29.44,889.0,-11.0,0.02
24,2007-05-25,56.5,68.0,62.5,45.0,53.0,29.54,891.0,2.0,0.0
25,2007-05-26,49.5,67.5,58.5,55.0,56.5,29.39,893.0,8.0,1.01
26,2007-05-27,58.0,75.0,66.5,48.0,56.5,29.375,894.0,-1.0,0.04
27,2007-05-28,52.0,77.5,65.0,48.0,56.5,29.46,895.0,0.0,0.0
28,2007-05-29,62.5,88.0,75.5,58.5,65.5,29.415,896.0,-9.0,0.0
29,2007-05-30,68.0,88.0,78.5,57.5,65.5,29.345,898.0,-12.0,0.0
30,2007-05-31,66.5,79.0,73.0,61.0,65.5,29.31,899.0,-7.0,0.01
31,2007-06-01,64.5,85.5,75.5,63.0,66.5,29.22,901.0,-9.0,0.19
32,2007-06-02,66.5,81.0,74.0,62.5,67.0,29.065,901.0,-8.0,0.04
33,2007-06-03,63.0,77.5,70.5,60.0,63.5,28.845,903.0,-5.0,0.01
34,2007-06-04,57.0,71.5,64.5,57.5,60.0,28.85,904.0,0.0,0.39
35,2007-06-05,49.0,63.5,56.5,47.5,51.5,29.13,906.0,9.0,0.42
36,2007-06-06,46.0,72.0,59.5,47.5,55.0,29.1,906.0,7.0,0.01
37,2007-06-07,71.0,91.5,81.5,61.5,68.5,28.875,907.0,-16.0,0.0
38,2007-06-08,60.0,81.0,70.5,53.5,61.5,29.21,908.0,-4.0,0.0
39,2007-06-09,54.5,79.0,67.0,48.0,57.5,29.39,909.0,-1.0,0.0
40,2007-06-10,58.0,81.0,69.5,50.5,59.5,29.365,910.0,-3.0,0.0
41,2007-06-11,61.5,85.5,73.5,51.5,61.0,29.44,910.0,-7.0,0.0
42,2007-06-12,64.0,82.5,73.5,50.5,60.5,29.465,911.0,-8.0,0.0
43,2007-06-13,64.0,86.5,75.5,53.0,62.0,29.36,911.0,-9.0,0.0
44,2007-06-14,66.0,89.0,78.0,54.5,63.5,29.33,912.0,-12.0,0.0
45,2007-06-15,65.0,90.0,77.5,56.0,64.5,29.31,912.0,-12.0,0.0
46,2007-06-16,67.0,92.5,80.0,60.5,67.5,29.295,913.0,-15.0,0.0
47,2007-06-17,70.5,91.0,81.0,64.5,70.0,29.255,913.0,-16.0,0.0
48,2007-06-18,71.0,89.0,80.0,65.0,70.0,29.155,913.0,-14.0,0.28
49,2007-06-19,65.0,80.5,73.0,55.0,63.0,29.285,914.0,-8.0,0.58
50,2007-06-20,61.5,84.5,73.5,51.0,61.0,29.425,914.0,-8.0,0.0
51,2007-06-21,63.5,78.5,71.0,51.0,60.5,29.385,914.0,-4.0,0.01
52,2007-06-22,61.5,75.5,69.0,49.5,58.0,29.36,914.0,-4.0,0.0
53,2007-06-23,61.5,67.5,65.0,59.0,61.5,29.255,914.0,0.0,0.05
54,2007-06-24,64.0,76.0,70.0,62.0,65.0,29.295,914.0,-5.0,0.0
55,2007-06-25,66.0,87.5,77.0,66.5,70.0,29.41,914.0,-12.0,0.0
56,2007-06-26,71.5,91.5,81.5,69.0,72.0,29.42,913.0,-16.0,0.16
57,2007-06-27,71.0,90.0,80.5,69.5,72.0,29.325,913.0,-16.0,0.15
58,2007-06-28,59.5,73.5,66.5,55.5,60.5,29.42,912.0,-1.0,0.0
59,2007-06-29,56.0,70.5,63.5,55.5,59.5,29.44,912.0,2.0,0.0
60,2007-06-30,56.0,78.0,67.5,47.5,57.0,29.435,912.0,-2.0,0.0
61,2007-07-01,57.5,75.5,67.0,51.5,58.5,29.535,911.0,0.0,0.0
62,2007-07-02,55.5,78.0,67.0,50.0,58.5,29.52,911.0,-1.0,0.0
63,2007-07-03,61.5,83.0,72.5,56.5,63.0,29.345,910.0,-7.0,0.4
64,2007-07-04,67.0,85.0,76.5,65.0,69.0,29.205,908.0,-12.0,0.16
65,2007-07-05,70.5,88.5,79.5,60.0,67.0,29.265,908.0,-15.0,0.0
66,2007-07-06,67.0,85.0,76.0,57.0,64.5,29.35,907.0,-11.0,0.0
67,2007-07-07,66.0,89.0,77.5,62.5,68.5,29.21,907.0,-12.0,0.0
68,2007-07-08,75.0,93.5,84.5,67.0,72.0,29.085,905.0,-20.0,0.0
69,2007-07-09,71.0,93.5,82.5,66.5,70.5,29.135,904.0,-17.0,0.3
70,2007-07-10,69.5,89.0,79.5,67.0,70.5,29.095,904.0,-14.0,0.43
71,2007-07-11,62.5,77.0,70.0,51.0,59.0,29.255,902.0,-5.0,0.0
72,2007-07-12,60.5,80.0,70.5,51.0,59.5,29.25,901.0,-6.0,0.0
73,2007-07-13,58.5,76.0,67.5,52.5,58.5,29.295,899.0,-3.0,0.0
74,2007-07-14,61.5,84.5,73.5,55.0,62.0,29.11,899.0,-8.0,0.0
75,2007-07-15,62.0,81.0,71.5,52.5,61.0,29.22,897.0,-6.0,0.0
76,2007-07-16,65.5,82.0,74.0,60.0,65.0,29.28,895.0,-9.0,0.39
77,2007-07-17,68.5,83.0,76.0,65.5,69.0,29.21,894.0,-11.0,0.11
78,2007-07-18,69.0,85.0,77.0,68.5,71.0,29.145,892.0,-12.0,1.55
79,2007-07-19,63.0,82.5,73.0,62.5,66.0,29.235,890.0,-8.0,0.16
80,2007-07-20,60.0,74.5,67.5,52.5,59.0,29.465,890.0,-2.0,0.0
81,2007-07-21,58.0,74.5,66.5,52.0,58.5,29.54,888.0,-1.0,0.0
82,2007-07-22,59.5,81.0,70.5,54.5,61.0,29.515,886.0,-5.0,0.0
83,2007-07-23,61.5,82.5,72.5,55.0,63.0,29.395,884.0,-7.0,0.0
84,2007-07-24,65.0,82.0,74.0,57.5,64.0,29.35,882.0,-9.0,0.0
85,2007-07-25,70.5,84.0,77.5,60.5,66.5,29.32,880.0,-13.0,0.0
86,2007-07-26,65.0,83.5,74.5,65.0,68.0,29.22,879.0,-10.0,0.19
87,2007-07-27,70.0,83.0,77.0,67.5,70.0,29.135,877.0,-12.0,0.17
88,2007-07-28,68.0,80.0,74.0,65.0,68.0,29.255,875.0,-8.0,0.0
89,2007-07-29,65.0,85.0,75.0,56.5,64.0,29.31,873.0,-9.0,0.0
90,2007-07-30,63.5,87.5,76.0,56.0,64.5,29.36,871.0,-11.0,0.0
91,2007-07-31,68.5,90.0,79.5,60.5,68.0,29.36,869.0,-15.0,0.0
92,2007-08-01,69.0,91.5,80.5,62.5,69.5,29.315,866.0,-16.0,0.0
93,2007-08-02,71.5,91.0,81.5,66.0,71.5,29.285,864.0,-16.0,0.0
94,2007-08-03,71.0,89.0,80.5,57.0,66.5,29.335,862.0,-15.0,0.0
95,2007-08-04,66.0,81.0,74.0,58.0,64.5,29.335,860.0,-8.0,0.03
96,2007-08-05,67.5,88.0,78.0,71.0,72.5,29.115,858.0,-13.0,1.43
97,2007-08-06,74.5,86.5,80.5,72.0,74.0,29.15,856.0,-16.0,0.26
98,2007-08-07,72.5,91.5,82.5,73.0,76.0,29.085,853.0,-17.0,1.31
99,2007-08-08,73.5,87.0,80.5,71.5,73.5,29.155,851.0,-15.0,0.06
100,2007-08-09,72.5,84.5,78.5,71.0,73.0,29.16,849.0,-13.0,0.05
101,2007-08-10,71.5,86.0,79.0,68.5,72.0,29.29,846.0,-13.0,0.0
102,2007-08-11,67.5,88.5,78.0,65.0,70.0,29.345,844.0,-13.0,0.0
103,2007-08-12,67.5,87.5,78.0,67.0,70.5,29.37,842.0,-13.0,0.29
104,2007-08-13,67.0,80.5,74.0,55.5,63.5,29.415,839.0,-8.0,0.0
105,2007-08-14,65.0,84.0,75.0,66.5,69.5,29.26,837.0,-10.0,0.41
106,2007-08-15,71.5,80.5,76.5,68.0,70.5,29.2,835.0,-11.0,0.23
107,2007-08-16,66.0,77.0,71.5,64.5,67.5,29.305,832.0,-6.0,0.0
108,2007-08-17,62.5,79.5,71.5,54.0,61.5,29.435,830.0,-5.0,0.0
109,2007-08-18,59.5,68.5,64.5,54.0,58.0,29.46,827.0,1.0,0.09
110,2007-08-19,62.0,68.5,65.5,62.5,64.0,29.27,825.0,0.0,1.33
